"SA2,""latitude.y"",""longitude.y"""
"Riverstone,-33.6797545,150.8616695"
"Schofields (West) - Colebee,-33.72183885,150.85942415"
"Schofields - East,NA,NA"
"Stanhope Gardens - Parklea,-33.7222607,150.926947898157"
"Eastlakes,-33.9310733,151.2113667"
"Mascot,-33.9289562,151.1951782"
"Marrickville - South,-33.915305,151.15168"
"Camperdown - Darlington,-33.8892546,151.1909947"
"Chippendale,-33.8863291,151.1998211"
"Pyrmont,-33.8692145,151.1923633"
"Redfern,-33.8931044,151.2040292"
"Rosebery - Beaconsfield,-35.98481025,148.28551705"
"Sydney (North) - Millers Point,-33.8523477427982,151.21084657857"
"Sydney (South) - Haymarket,-33.879335,151.2052514"
"Ultimo,-33.8794728,151.1984346"
"Waterloo,-33.9002762,151.2073137"
"Zetland,-33.9076623,151.2082183"
"Bellevue Hill,-33.8797123,151.2561988"
"Double Bay - Darling Point,-33.8748548,151.2400439"
"Coogee - Clovelly,-33.911446,151.254856"
"Malabar - La Perouse,-33.9758035,151.24004835"
"Matraville - Chifley,-33.9652727,151.244409176953"
"South Coogee,-33.9322056,151.2539567"
"Greenacre - North,NA,NA"
"Greenacre - South,-33.892985,151.061599"
"Panania (North) - Milperra,-33.9418458,150.9920431"
"Panania (South) - Picnic Point,-33.9626457,151.0025393"
"Campsie - North,-33.9100255,151.1031485"
"Campsie - South,-33.9258487,151.103810244623"
"Canterbury - South,-33.91774625,151.115931319917"
"Earlwood,-33.9247222,151.1313889"
"Hurstville - Central,-33.9673964,151.102576777249"
"Mortdale - Oatley,-33.9742698,151.076864494979"
"Penshurst,-33.9648292,151.0849525"
"Arncliffe - Bardwell Valley,-33.9358416,151.1476683"
"Bexley - North,-33.9375479,151.1134896"
"Bexley - South,-33.960297,151.116944"
"Wolli Creek,-33.9285225,151.1539888"
"Concord West - North Strathfield,-33.8563326,151.0919395"
"Rhodes,-33.8290589,151.0873578"
"Annandale (NSW),-33.881224,151.1709976"
"Leichhardt,-33.8819328,151.155867"
"Ashfield - South,-33.8894781,151.1274125"
"Burwood (NSW),-33.8858088,151.102480473179"
"Croydon,-18.51363655,141.967015510232"
"Strathfield - East,-33.8592867,151.0883031"
"Strathfield - West,-33.8523153816393,151.079808838625"
"Artarmon,-33.8084051,151.184511"
"Castle Cove - Northbridge,NA,NA"
"Chatswood - East,-24.858177049125,152.379606786652"
"Greenwich - Riverview,-33.8266087,151.17278775"
"Lane Cove,-33.8232026,151.169714751291"
"Willoughby,-33.80159955,151.183647812508"
"Mosman - North,-33.8301355,151.2447663"
"Mosman - South,-33.8428361,151.2329681"
"Mona Vale - Warriewood (North),-33.68653035,151.2996056"
"North Narrabeen - Warriewood (South),-33.6998021,151.308357053828"
"Belrose,-33.730009,151.2191438"
"Collaroy - Collaroy Plateau,-33.7303841,151.2910394"
"Dee Why (South) - North Curl Curl,-33.76562445,151.302271994875"
"Dee Why - North,-33.7385471,151.2802936"
"Frenchs Forest - Oxford Falls,-33.74254795,151.2365452"
"Narrabeen - Wheeler Heights,-33.7211283,151.28925645"
"Currans Hill,-34.0463519,150.7712456"
"Elderslie - Narellan,-34.0504676,150.72654925"
"Harrington Park,-34.0247325,150.7422344"
"Mount Annan,-34.0628307,150.7576322"
"Spring Farm,-34.0694444,150.7272284"
"Denham Court - Bardia,-33.97889185,150.84493855"
"Glenfield,-33.9722422,150.8930882"
"Ingleburn,-33.9983333,150.8511111"
"Macquarie Fields,-33.9904477,150.8849303"
"Cranebrook - Castlereagh,-33.6906651587942,150.665429192015"
"Jordan Springs - Llandilo,-33.71600665,150.73857565"
"Silverwater - Newington,-33.82915615,151.056864798403"
"Wentworth Point - Sydney Olympic Park,-33.8219491,151.0788441"
"Carlingford - East,-34.7637311,138.6671497"
"Carlingford - West,-33.7821313,151.03700522589"
"Merrylands - Holroyd,-33.832396,150.99176385"
"Pemulwuy - Greystanes (North),-33.81996205,150.93725705"
"South Wentworthville,-33.82134,150.9687481"
"Parramatta - North,-33.7989483,151.000765935"
"Rosehill - Harris Park,-33.8209038,151.0165104"
"Epping (East) - North Epping,NA,NA"
"Epping (NSW) - West,-33.8067478638498,151.153732251633"
"Denistone,-33.7989066,151.0887"
"Eastwood,-33.79,151.0844444"
"Ryde - North,-33.7975472,151.127306"
"Cobbitty - Bringelly,-33.9748845,150.71162105"
"Gledswood Hills - Gregory Hills,-34.0250343,150.7800391"
"Leppington - Catherine Field,-33.97883425,150.78306365"
"Oran Park,-33.9948805,150.7402568"
"Edmondson Park,-33.9628336,150.8563294"
"Liverpool - East,-37.8112475190141,144.971405755157"
"Prestons,-33.9409247,150.8748897"
"Sydney Region nfd,-25,135"
"Oberon,-33.8455931,149.832616207351"
"Lithgow,-33.481536,150.1564887"
"Lithgow Surrounds,-25,135"
"Wollangambe - Wollemi,-33.1453889,150.4556278"
"Blackheath - Megalong Valley,-33.6751877,150.2586655"
"Blaxland - Warrimoo - Lapstone,-33.7479900333333,150.617353266667"
"Blue Mountains - North,-33.7061569,150.3110119"
"Katoomba - Leura,-33.71466125,150.319915477335"
"Lawson - Hazelbrook - Linden,-32.2488016333333,141.1041379"
"Springwood - Winmalee,-33.69573255,150.620105957167"
"Wentworth Falls,-33.72802,150.3740633"
"Blue Mountains - South,-33.60974105,150.405223732352"
"Blue Mountains Region nfd,-25,135"
"Braidwood,-35.4388907,149.7955552"
"Karabar,-35.3759426,149.2328718"
"Queanbeyan,-35.3524518,149.2337634"
"Queanbeyan - East,-35.3455488,149.2465067"
"Queanbeyan West - Jerrabomberra,-35.37190595,149.192855730468"
"Googong,-35.422209,149.2363805"
"Bowral,-34.4816626,150.4177868"
"Hill Top - Colo Vale,-34.3780194,150.48879725"
"Mittagong,-34.4500664,150.4473469"
"Moss Vale - Berrima,-34.5406745,150.362497013982"
"Robertson - Fitzroy Falls,-31.1099675,151.7553479"
"Southern Highlands,-34.5029645,150.43968865894"
"Goulburn,-34.7523871,149.7198009"
"Goulburn Surrounds,-25,135"
"Yass,-34.8418629,148.9110055"
"Yass Surrounds,-25,135"
"Young,-34.3103512,148.2971801"
"Young Surrounds,-25,135"
"Queanbeyan Surrounds,-25,135"
"Capital Country Region nfd,-25,135"
"Avoca Beach - Copacabana,-33.4775,151.4344444"
"Box Head - MacMasters Beach,-33.51650865,151.3808284"
"Calga - Kulnura,-33.3316667,151.2177778"
"Erina - Green Point,-33.4352707,151.382712239232"
"Gosford - Springfield,-30.5399307,152.12643695"
"Kariong,-33.44,151.3011111"
"Kincumber - Picketts Valley,-33.46083335,151.4011111"
"Narara,-33.3955556,151.3355556"
"Niagara Park - Lisarow,-33.3825147,151.354934"
"Point Clare - Koolewong,-33.45291665,151.3222222"
"Saratoga - Davistown,-33.47819445,151.35388885"
"Terrigal - North Avoca,NA,NA"
"Umina - Booker Bay - Patonga,-29.1919834666667,150.147595566667"
"Wamberal - Forresters Beach,-33.43083205,151.447494936029"
"Woy Woy - Blackwall,-33.48638,151.324883"
"Wyoming,-33.4066667,151.3594444"
"Bateau Bay - Killarney Vale,-33.3783558,151.457200372242"
"Blue Haven - San Remo,-33.2123475,151.51288665"
